name	epoch	version	release	arch	vendor	build_time
liblua5_3-5	0	5.3.6	3.6.1	x86_64	SUSE LLC <https://www.suse.com/>	1623396425
liblz4-1	0	1.9.4	150600.1.4	x86_64	SUSE LLC <https://www.suse.com/>	1715244718
liblzma5	0	5.4.1	150600.3.6.1	x86_64	SUSE LLC <https://www.suse.com/>	1779174877
liblzo2-2	0	2.10	2.22	x86_64	SUSE LLC <https://www.suse.com/>	1527272052
libmagic1	0	5.32	7.14.1	x86_64	SUSE LLC <https://www.suse.com/>	1631196222
libmetalink3	0	0.1.3	150000.3.2.1	x86_64	SUSE LLC <https://www.suse.com/>	1707228200
libmnl0	0	1.0.4	1.25	x86_64	SUSE LLC <https://www.suse.com/>	1527271951
libmount1	0	2.40.4	150700.4.18.1	x86_64	SUSE LLC <https://www.suse.com/>	1787159150
libmpc3	0	1.1.0	1.47	x86_64	SUSE LLC <https://www.suse.com/>	1527268006
libmpfr6	0	4.0.2	3.3.1	x86_64	SUSE LLC <https://www.suse.com/>	1618404772
libmpx2	0	8.2.1+r264010	150000.1.6.4	x86_64	SUSE LLC <https://www.suse.com/>	1652111443
libmpxwrappers2	0	8.2.1+r264010	150000.1.6.4	x86_64	SUSE LLC <https://www.suse.com/>	1652111443
libncurses6	0	6.1	150000.5.33.1	x86_64	SUSE LLC <https://www.suse.com/>	1776346499
libnetfilter_conntrack3	0	1.0.7	1.38	x86_64	SUSE LLC <https://www.suse.com/>	1591404822
libnfnetlink0	0	1.0.1	2.11	x86_64	SUSE LLC <https://www.suse.com/>	1527272041
libnftnl11	0	1.2.0	150400.1.6	x86_64	SUSE LLC <https://www.suse.com/>	1651958326
libnghttp2-14	0	1.64.0	150700.3.3.1	x86_64	SUSE LLC <https://www.suse.com/>	1774005489
libnpth0	0	1.5	2.11	x86_64	SUSE LLC <https://www.suse.com/>	1527271946
libnsl2	0	1.2.0	2.44	x86_64	SUSE LLC <https://www.suse.com/>	1527267985
libonig4	0	6.7.0	150000.3.6.1	x86_64	SUSE LLC <https://www.suse.com/>	1720535739
libopenssl-3-fips-provider	0	3.2.3	150700.5.40.1	x86_64	SUSE LLC <https://www.suse.com/>	1785159635
